variable,standard_name,long_name,units,dims,model,grid,freq,url
e3t,cell_thickness,t-cell thickness,m,"('time_counter', 'deptht', 'y', 'x')",eORCA1,T,1m,https://noc-msm-o.s3-ext.jc.rl.ac.uk/npd-eorca1-jra55v1/T1m/e3t
thetao_con,sea_water_conservative_temperature,sea_water_conservative_temperature,degC,"('time_counter', 'deptht', 'y', 'x')",eORCA1,T,1m,https://noc-msm-o.s3-ext.jc.rl.ac.uk/npd-eorca1-jra55v1/T1m/thetao_con
so_abs,sea_water_absolute_salinity,sea_water_absolute_salinity,g/kg,"('time_counter', 'deptht', 'y', 'x')",eORCA1,T,1m,https://noc-msm-o.s3-ext.jc.rl.ac.uk/npd-eorca1-jra55v1/T1m/so_abs
zos,sea_surface_height_above_geoid,sea surface height above geoid,m,"('time_counter', 'y', 'x')",eORCA1,T,1m,https://noc-msm-o.s3-ext.jc.rl.ac.uk/npd-eorca1-jra55v1/T1m/zos
zossq,square_of_sea_surface_height_above_geoid,square of sea surface height above geoid,m2,"('time_counter', 'y', 'x')",eORCA1,T,1m,https://noc-msm-o.s3-ext.jc.rl.ac.uk/npd-eorca1-jra55v1/T1m/zossq
friver,water_flux_into_sea_water_from_rivers,river runoffs,kg/m2/s,"('time_counter', 'y', 'x')",eORCA1,T,1m,https://noc-msm-o.s3-ext.jc.rl.ac.uk/npd-eorca1-jra55v1/T1m/friver
hfto,surface_net_downward_total_heat_flux,net downward heat flux,W/m2,"('time_counter', 'y', 'x')",eORCA1,T,1m,https://noc-msm-o.s3-ext.jc.rl.ac.uk/npd-eorca1-jra55v1/T1m/hfto
hfsr,surface_net_downward_solar_heat_flux,shortwave radiation,W/m2,"('time_counter', 'y', 'x')",eORCA1,T,1m,https://noc-msm-o.s3-ext.jc.rl.ac.uk/npd-eorca1-jra55v1/T1m/hfsr
hfns,surface_net_downward_non_solar_heat_flux,non solar downward heat flux,W/m2,"('time_counter', 'y', 'x')",eORCA1,T,1m,https://noc-msm-o.s3-ext.jc.rl.ac.uk/npd-eorca1-jra55v1/T1m/hfns
rsdo,downwelling_shortwave_flux_in_sea_water,shortwave radiation 3d distribution,W/m2,"('time_counter', 'deptht', 'y', 'x')",eORCA1,T,1m,https://noc-msm-o.s3-ext.jc.rl.ac.uk/npd-eorca1-jra55v1/T1m/rsdo
